,id,gender,masterCategory,subCategory,articleType,season,year,usage,productDisplayName,Colour,Brand,Price
0,55834,Women,Personal Care,Beauty Accessories,Beauty Accessory,Spring,2017.0,Casual,Colorbar Miss Reflective Body Shimmer 001,Skin,Colorbar,499
1,55119,Women,Personal Care,Beauty Accessories,Beauty Accessory,Spring,2017.0,Casual,Lakme Dual Sharpener,Burgundy,Lakme,60
2,55286,Women,Personal Care,Beauty Accessories,Beauty Accessory,Spring,2017.0,Casual,Lakme All Over Shimmer Gloss,Cream,Lakme,325
3,55109,Women,Personal Care,Beauty Accessories,Beauty Accessory,Spring,2017.0,,Lakme Compact Puff,Skin,Lakme,90
